synthetic_label,slug,client_ref,prop_type,epistemic_class,derivation,verification_status,claim_text,human_interpretation
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-dchk-2023-014,appeal-status-1,appeal_status,fact,normalized,verified,Appeal status: no appeal lodged within the stated period in this synthetic fixture.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-dchk-2023-014,charge-1,charge,fact,normalized,verified,"That he, being a registered dentist, practised dentistry at premises that were not suitably equipped, and was guilty of misconduct in a professional respect.",PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-dchk-2023-014,finding-1,finding,fact,normalized,verified,The Council finds the charge proved.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-dchk-2023-014,mitigating-factor-1,mitigating_factor,fact,verbatim,verified,Mitigation included genuine remorse,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-dchk-2023-014,rule-1,rule,fact,verbatim,verified,Dentists Registration Ordinance,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-dchk-2023-014,sanction-1,sanction,fact,normalized,verified,"That the Defendant be removed from the register for a period of 1 month, suspended for 12 months.",PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,appeal-status-1,appeal_status,fact,normalized,verified,No appeal is recorded in this synthetic fixture.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,authority-1,authority,fact,verbatim,verified,Dr Chan v. The Medical Council of Hong Kong as a cited authority on professional endorsement principles,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,charge-1,charge,fact,normalized,verified,"That she, being a registered medical practitioner, failed to keep adequate clinical records in respect of [REDACTED_PERSON] , and in relation to the facts alleged was guilty of misconduct in a professional respect.",PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,finding-1,finding,fact,normalized,verified,The Council is satisfied that the charge is proved and that the Defendant is guilty of misconduct in a professional respect.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,legal-test-1,legal_test,interpretation,inferred,verified,The Council applies the legal standard that conduct which falls short of the standard expected of a registered medical practitioner may constitute misconduct,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,mitigating-factor-1,mitigating_factor,fact,verbatim,verified,The Defendant has a clear disciplinary record and made an admission of the facts at the outset,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,rule-1,rule,fact,verbatim,verified,"Medical Registration Ordinance, Cap. 161",PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-2024-001,sanction-1,sanction,fact,normalized,verified,The Defendant be served with a warning letter. The removal order is not required.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-pdf-001,charge-1,charge,fact,normalized,verified,Failed to maintain adequate records.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-pdf-001,finding-1,finding,fact,normalized,verified,The charge is proved.,PLACEHOLDER - do not infer conclusions from counts alone
SYNTHETIC DEMO ONLY - NOT REAL CORPUS,syn-mchk-pdf-001,sanction-1,sanction,fact,normalized,verified,warning letter be served.,PLACEHOLDER - do not infer conclusions from counts alone
